,P,F
-2850,0.0,0.0
-2849,0.0,0.0
-2848,0.0,0.0
-2847,0.0,0.0
-2846,0.0,0.0
-2845,0.0,0.0
-2844,0.0,0.0
-2843,0.0,0.0
-2842,0.0,0.0
-2841,0.0,0.0
-2840,2.3917599129599466e-46,2.3917599129599466e-46
-2839,2.3917599129599466e-46,4.090312104344986e-46
-2838,2.3917599129599466e-46,4.5929843392505744e-46
-2837,2.3917599129599466e-46,5.095656574156163e-46
-2836,2.3917599129599466e-46,5.598328809061752e-46
-2835,2.3917599129599466e-46,6.1010010439673406e-46
-2834,2.3917599129599466e-46,6.603673278872929e-46
-2833,2.3917599129599466e-46,7.106345513778519e-46
-2832,2.3917599129599466e-46,7.609017748684108e-46
-2831,2.3917599129599466e-46,8.111689983589696e-46
-2830,2.3917599129599466e-46,8.614362218495285e-46
-2829,2.3917599129599466e-46,9.117034453400874e-46
-2828,4.1198668480511096e-44,4.1921463158045725e-44
-2827,4.1198668480511096e-44,7.175745205959648e-44
-2826,4.1198668480511096e-44,8.111369471654862e-44
-2825,4.1198668480511096e-44,9.046993737350073e-44
-2824,4.1198668480511096e-44,9.982618003045272e-44
-2823,4.1198668480511096e-44,1.0918242268740484e-43
-2822,4.1198668480511096e-44,1.1853866534435695e-43
-2821,4.1198668480511096e-44,1.2789490800130906e-43
-2820,4.980900416716689e-44,1.4586148634491696e-43
-2819,4.980900416716689e-44,1.61523857683892e-43
-2818,4.980900416716689e-44,1.7288106117954104e-43
-2817,4.980900416716689e-44,1.8423826467519008e-43
-2816,2.6252850694716852e-42,2.7710715334753573e-42
-2815,2.6252850694716852e-42,4.6991980322245624e-42
-2814,2.6252850694716852e-42,5.339586498322068e-42
-2813,2.6252850694716852e-42,5.979974964419573e-42
-2812,2.6252850694716852e-42,6.62036343051707e-42
-2811,2.6254046574673333e-42,7.260871484610223e-42
-2810,2.6254046574673333e-42,7.901285084319476e-42
-2809,2.6254046574673333e-42,8.541698684028728e-42
-2808,4.0999463870790766e-42,1.0656654013349722e-41
-2807,4.0999463870790766e-42,1.2402121187460525e-41
-2806,4.0999463870790766e-42,1.341031749676577e-41
-2805,4.0999463870790766e-42,1.4418513806071007e-41
-2804,7.40206411870355e-41,8.534740491533262e-41
-2803,7.40206411870355e-41,1.3958562561812226e-40
-2802,7.40206411870355e-41,1.5886349892094902e-40
-2801,7.40206411870355e-41,1.7814137222377579e-40
-2800,7.413688071880531e-41,1.975354850583725e-40
-2799,7.415736046504991e-41,2.169215539453572e-40
-2798,7.415736046504991e-41,2.3623367630792902e-40
-2797,7.415736046504991e-41,2.5554579867050086e-40
-2796,1.6687449881601265e-40,3.6757505938403545e-40
-2795,1.6687449881601265e-40,4.579512572279777e-40
-2794,1.6687449881601265e-40,5.0196888589646e-40
-2793,1.6687449881601265e-40,5.459865145649424e-40
-2792,8.493118492822544e-40,1.2724414936996667e-39
-2791,8.493161544500978e-40,1.847650377470178e-39
-2790,8.494582249889273e-40,2.0817793518591245e-39
-2789,8.494582249889273e-40,2.315874324989148e-39
-2788,8.693645383386854e-40,2.569804576199515e-39
-2787,8.70652276371337e-40,2.8204768378660802e-39
-2786,8.70652276371337e-40,3.060222720456419e-39
-2785,8.70652276371337e-40,3.299968603046759e-39
-2784,3.387797289169768e-39,6.056859498435531e-39
-2783,3.387797289169768e-39,8.268822815031282e-39
-2782,3.38779752834576e-39,9.22221386440435e-39
-2781,3.38779752834576e-39,1.0175604844456648e-38
-2780,3.388494965536381e-39,1.1129693142111568e-38
-2779,3.389232236401186e-39,1.2084363067072397e-38
-2778,3.4135621749397786e-39,1.3062460832466488e-38
-2777,3.4135621749397786e-39,1.4035150162773438e-38
-2776,4.665243542677772e-39,1.6247355891549087e-38
-2775,4.7002038900777354e-39,1.823002076049051e-38
-2774,4.7002038900777354e-39,1.9561019436660003e-38
-2773,4.7002038900777354e-39,2.0892018112829495e-38
-2772,2.9267948506862454e-38,4.679076140578371e-38
-2771,2.9268006626628334e-38,6.779049827972284e-38
-2770,2.9273162125518684e-38,7.651147502243546e-38
-2769,2.9273162125518684e-38,8.523133020248709e-38
-2768,2.939260000561726e-38,9.40680455131921e-38
-2767,2.943895857479272e-38,1.0292649920272702e-37
-2766,3.0968791357583585e-38,1.1322106091898122e-37
-2765,3.0968791357583585e-38,1.2320161509578422e-37
-2764,6.495029590885673e-38,1.6639875743246533e-37
-2763,6.52915145840897e-38,2.0333572724352133e-37
-2762,6.529152319442538e-38,2.230357188514017e-37
-2761,6.529159422969479e-38,2.4273577919034455e-37
-2760,6.529316346337366e-38,2.624373519395342e-37
-2759,6.530311662004853e-38,2.8214856251925076e-37
-2758,6.618156988350323e-38,3.0273019230345693e-37
-2757,6.618156988350323e-38,3.231359236685866e-37
-2756,7.369165808993119e-38,3.50612516608417e-37
-2755,7.495023071591785e-38,3.779275657798607e-37
-2754,1.1648312366626806e-37,4.4211871366139294e-37
-2753,1.1648312366626806e-37,4.984932240961581e-37
-2752,4.481557040533894e-37,8.657738684428807e-37
-2751,4.4815605277198476e-37,1.1742858283580722e-36
-2750,4.482265735955858e-37,1.3170317667222996e-36
-2749,4.4823873856485505e-37,1.4597760446794429e-36
-2748,4.485074737950765e-37,1.6027450107528294e-36
-2747,4.491333144789453e-37,1.746290393975808e-36
-2746,5.042772153542174e-37,1.9444001395134012e-36
-2745,5.042772153542174e-37,2.1324127891865792e-36
-2744,7.081676490166852e-37,2.496743922084602e-36
-2743,7.204515418048185e-37,2.838281127361701e-36
-2742,1.1258194851807898e-36,3.474649574933249e-36
-2741,1.1258220424504889e-36,4.041650922674975e-36
-2740,1.12636201543832e-36,4.4065064378873384e-36
-2739,1.1264217343783694e-36,4.771298798830968e-36
-2738,1.1383388016464771e-36,5.147696070983593e-36
-2737,1.1391037180378723e-36,5.5227336336848214e-36
-2736,1.1560014165023355e-36,5.9081708992510396e-36
-2735,1.1729921730831325e-36,6.307779163921036e-36
-2734,2.6688587566462012e-36,8.183009087878953e-36
-2733,2.6688587566462012e-36,9.809915127713021e-36
-2732,4.659135222855307e-36,1.2679164341974984e-35
-2731,4.659137295210179e-36,1.5239970200599955e-35
-2730,4.659574054690822e-36,1.680607306240755e-35
-2729,4.6600119935845166e-36,1.8372537129516227e-35
-2728,4.679741058637069e-36,1.995820529263414e-35
-2727,4.683496102740281e-36,2.1543671525404992e-35
-2726,5.4295119803090366e-36,2.386270152296954e-35
-2725,5.450278427262555e-36,2.6082389763749363e-35
-2724,5.9090508887932974e-36,2.837355098523592e-35
-2723,6.07488791625765e-36,3.07618144851718e-35
-2722,2.0668130390606689e-35,4.740163101364018e-35
-2721,2.0668164913747622e-35,6.18684695425854e-35
-2720,2.0687628271248077e-35,6.905812620234519e-35
-2719,2.0687797599210589e-35,7.624395532450653e-35
-2718,2.0760065302051672e-35,8.349220274967508e-35
-2717,2.0787602292141896e-35,9.0756664716394e-35
-2716,2.1300179060850729e-35,9.847876090275915e-35
-2715,2.1402124335801683e-35,1.0621793195242076e-34
-2714,4.161170592059399e-35,1.3384188464057855e-34
-2713,4.1814389916081103e-35,1.5876184097856282e-34
-2712,4.6295768124446055e-35,1.7792235794934067e-34
-2711,4.629608446950915e-35,1.9648804226769622e-34
-2710,4.629722874933285e-35,2.128139513260265e-34
-2709,4.6303140924397725e-35,2.2914558605944684e-34
-2708,4.7014917099072416e-35,2.4618441725370766e-34
-2707,4.702370716697988e-35,2.631050566801691e-34
-2706,5.151936350780504e-35,2.8415958382222587e-34
-2705,5.226695566916694e-35,3.0533670398867346e-34
-2704,6.255151774496804e-35,3.3405267565212214e-34
-2703,6.354666586043274e-35,3.6234721493021722e-34
-2702,2.6056020137366804e-34,5.818612096561086e-34
-2701,2.6056041495120387e-34,7.764167838455794e-34
-2700,2.608237177010772e-34,8.727287520475791e-34
-2699,2.6083484080634906e-34,9.690036125767315e-34
-2698,2.6100449676643967e-34,1.0653086651874381e-33
-2697,2.6137624613313606e-34,1.1619622065982031e-33
-2696,2.79870542699365e-34,1.2767795602736921e-33
-2695,2.8009992927884884e-34,1.3891732104866897e-33
-2694,4.015425208894498e-34,1.6136132432852268e-33
-2693,4.0883915689195525e-34,1.8305716300309922e-33
-2692,5.092403226607029e-34,2.0824750609554524e-33
-2691,5.092506680561272e-34,2.3222728392159558e-33
-2690,5.095567223320818e-34,2.51216878820049e-33
-2689,5.09592370184208e-34,2.7020455047292655e-33
-2688,5.1923577322549836e-34,2.9013892982811523e-33
-2687,5.195043455231205e-34,3.099494571204237e-33
-2686,5.297700366678903e-34,3.302864662873849e-33
-2685,5.398625464723626e-34,3.515119282395938e-33
-2684,9.105075354403624e-34,4.08638889930514e-33
-2683,9.127482817148245e-34,4.6170614540511834e-33
-2682,2.0949731240225715e-33,6.1432183972526615e-33
-2681,2.094974586794212e-33,7.545868347415985e-33
-2680,2.0965625022096406e-33,8.358992895101947e-33
-2679,2.0969346187169483e-33,9.17223372206978e-33
-2678,2.1059228969619642e-33,9.993416177342612e-33
-2677,2.1081550992698692e-33,1.0815400012092822e-32
-2676,2.3587631831335666e-33,1.1882073042102474e-32
-2675,2.3639054678156993e-33,1.2923464008948747e-32
-2674,2.6384065990994655e-33,1.4110772633140852e-32
-2673,2.7369138522621365e-33,1.536921478820681e-32
-2672,6.350563666971878e-33,2.0042323177840536e-32
-2671,6.350698636926925e-33,2.4359837078811917e-32
-2670,6.361689095017026e-33,2.688142430937e-32
-2669,6.361795968689291e-33,2.9401392273803715e-32
-2668,6.420111078048774e-33,3.1974113909748134e-32
-2667,6.42950336757096e-33,3.454839470403947e-32
-2666,6.559835684763686e-33,3.721780211350139e-32
-2665,6.62039118360382e-33,3.993083738351409e-32
-2664,1.1633259167379235e-32,4.755393696672727e-32
-2663,1.1683459968804873e-32,5.475875420692728e-32
-2662,1.4345415955142036e-32,6.208793506249383e-32
-2661,1.4345599257872147e-32,6.919821802176315e-32
-2660,1.4349268040746736e-32,7.498106876317603e-32
-2659,1.4354164243388934e-32,8.076830195137284e-32
-2658,1.4676627076006488e-32,8.687294949396745e-32
-2657,1.468190979593754e-32,9.29387392670967e-32
-2656,1.6197195279905735e-32,1.0035534152260898e-31
-2655,1.638231614586663e-32,1.0780622748799344e-31
-2654,1.7746749336596306e-32,1.1574995940722477e-31
-2653,1.8337867942767316e-32,1.2416539074898535e-31
-2652,6.71236135743805e-32,1.8032703674192025e-31
-2651,6.712441383078452e-32,2.327709655119144e-31
-2650,6.727314477428981e-32,2.6097022553106767e-31
-2649,6.727845392643301e-32,2.8915472176596616e-31
-2648,6.741385417470227e-32,3.173967913081569e-31
-2647,6.753940830389054e-32,3.4574905517750417e-31
-2646,7.221519051121972e-32,3.786313828163583e-31
-2645,7.235144619432786e-32,4.111470698035547e-31
-2644,1.0253942846764286e-31,4.714311874498099e-31
-2643,1.043462673020033e-31,5.313655285306717e-31
-2642,1.1763301196379021e-31,5.884113385185991e-31
-2641,1.1763889742802438e-31,6.445281887136002e-31
-2640,1.1772424824287478e-31,6.940831629357252e-31
-2639,1.1775334775479476e-31,7.436557626522809e-31
-2638,1.2211583734420176e-31,7.975297735645126e-31
-2637,1.2218879962104678e-31,8.5097623741165e-31
-2636,1.2568780681464051e-31,9.056947835820645e-31
-2635,1.2818698002451574e-31,9.626372950820848e-31
-2634,1.772429030260957e-31,1.0654034901576813e-30
-2633,1.7857391139933317e-31,1.166299219388261e-30
-2632,4.713543504057875e-31,1.5346723786699775e-30
-2631,4.713565404503847e-31,1.8872319232324675e-30
-2630,4.722546744675731e-31,2.0942980503864953e-30
-2629,4.7242643605760926e-31,2.301434367153664e-30
-2628,4.745320706900007e-31,2.5101181526748367e-30
-2627,4.752827065961889e-31,2.719317575650283e-30
-2626,5.386151284321618e-31,2.9903474108176237e-30
-2625,5.392951076696071e-31,3.2566466355359796e-30
-2624,6.079748368427778e-31,3.559559977918299e-30
-2623,6.323681279851653e-31,3.8834436775609426e-30
-2622,1.1102135994629725e-30,4.636777038662031e-30
-2621,1.1102900544363865e-30,5.367213875237306e-30
-2620,1.1133435742783838e-30,5.861733041989282e-30
-2619,1.1134171842547815e-30,6.355983694425457e-30
-2618,1.1397381136557125e-30,6.87498502844974e-30
-2617,1.1421757506974558e-30,7.393983522373185e-30
-2616,1.1660592736213568e-30,7.922225691975834e-30
-2615,1.1810552350258913e-30,8.463333241677265e-30
-2614,1.8455889170593973e-30,9.648468989873092e-30
-2613,1.8522323430299513e-30,1.0811519508099691e-29
-2612,2.51188512984189e-30,1.229816688512844e-29
-2611,2.5119389904109194e-30,1.3763812547894197e-29
-2610,2.514013187016587e-30,1.4901672890165664e-29
-2609,2.5162505762290555e-30,1.604157877185293e-29
-2608,2.5912157674582998e-30,1.7254039338506777e-29
-2607,2.5929843130459675e-30,1.8461593457762004e-29
-2606,2.975839737262774e-30,2.0013513999556827e-29
-2605,3.000318150104602e-30,2.1565611791395e-29
-2604,3.1045973142791376e-30,2.3016727296416523e-29
-2603,3.2509927394637346e-30,2.4610219100403988e-29
-2602,9.702220986988631e-30,3.252169341040249e-29
-2601,9.702672792390923e-30,4.026677969574235e-29
-2600,9.744046545906671e-30,4.482734999112204e-29
-2599,9.745324554458113e-30,4.938547376524404e-29
-2598,9.805828796015205e-30,5.398265865098037e-29
-2597,9.837943312387042e-30,5.860763158441404e-29
-2596,1.0683331318315618e-29,6.402895371437945e-29
-2595,1.0717082986856843e-29,6.942778977228567e-29
-2594,1.4732077722884176e-29,7.840040161418892e-29
-2593,1.4971007102836576e-29,8.752601945721902e-29
-2592,1.5968092390947914e-29,9.551027462355603e-29
-2591,1.5969758080490348e-29,1.0347553456236171e-28
-2590,1.5985814111539586e-29,1.1095729665988164e-28
-2589,1.5999030644769526e-29,1.184507419289765e-28
-2588,1.7012615121521276e-29,1.2694193488026979e-28
-2587,1.7026661038590132e-29,1.35379380375939e-28
-2586,1.7910360711221298e-29,1.4418569336834088e-28
-2585,1.8240842217410076e-29,1.5328508529230476e-28
-2584,2.190801666655586e-29,1.6543037948449734e-28
