,P,F
12,0.7587804906961451,0.006713829049421455
24,0.40226348283499275,0.009471958228439494
36,0.1532032602425102,0.006307335746982409
48,0.04370390523884124,0.002639349807465858
60,0.00966918687406077,0.0007796312563757382
80,0.0017037971784826518,0.00017312642757580325
100,0.00024395963353008736,3.0055214122866227e-05
120,2.8821211507713688e-05,4.1880837219872596e-06
140,2.8423091647708327e-06,4.772730498763474e-07
190,2.3609643393848086e-07,4.509244058632807e-08
240,1.6631901244314843e-08,3.567998703639423e-09
290,9.98762447319295e-10,2.382301643667319e-10
340,5.1317233948789393e-11,1.3496047832855254e-11
390,2.2616151810973343e-12,6.512120308465996e-13
440,8.560805151879305e-14,2.6828530733653046e-14
516,2.78404680785274e-15,9.447761345160475e-16
592,7.772765345415425e-17,2.8437594766553337e-17
668,1.85957179609824e-18,7.307009092238831e-19
744,3.800854286966445e-20,1.5987092048305466e-20
844,6.608394062129261e-22,2.9666896181873676e-22
944,9.716011178218714e-24,4.643285573859016e-24
1044,1.198501431363501e-25,6.083236326276069e-26
1199,1.2275092445652916e-27,6.603622260317979e-28
1354,1.0294829823199436e-29,5.8590743447724605e-30
1509,6.937936883958831e-32,4.1702073637641254e-32
1664,3.6588869093345706e-34,2.319103413164442e-34
1861,1.4519177310009031e-36,9.69021361365275e-37
2058,4.070560848307813e-39,2.856817078786414e-39
2255,7.177786254950398e-42,5.290588966486014e-42
2605,5.979399782399997e-45,4.623062532095999e-45
3005,0.0,0.0
3405,0.0,0.0
0,1.0,0.0
